missing_ingredient,nutrient_missing
curd,Isoleucine (g)
sprouted green gram,Isoleucine (g)
coriander leaves(chopped),Isoleucine (g)
gram flour,Isoleucine (g)
chillies red powder,Isoleucine (g)
oil,Isoleucine (g)
curd,Luecine (g)
sprouted green gram,Luecine (g)
coriander leaves(chopped),Luecine (g)
gram flour,Luecine (g)
chillies red powder,Luecine (g)
oil,Luecine (g)
curd,Lysine (g)
sprouted green gram,Lysine (g)
coriander leaves(chopped),Lysine (g)
gram flour,Lysine (g)
chillies red powder,Lysine (g)
oil,Lysine (g)
curd,Methionine (g)
sprouted green gram,Methionine (g)
coriander leaves(chopped),Methionine (g)
gram flour,Methionine (g)
chillies red powder,Methionine (g)
oil,Methionine (g)
curd,Cystine (g)
sprouted green gram,Cystine (g)
coriander leaves(chopped),Cystine (g)
gram flour,Cystine (g)
chillies red powder,Cystine (g)
oil,Cystine (g)
curd,Phenylalanine (g)
sprouted green gram,Phenylalanine (g)
coriander leaves(chopped),Phenylalanine (g)
gram flour,Phenylalanine (g)
chillies red powder,Phenylalanine (g)
oil,Phenylalanine (g)
curd,Threonine (g)
sprouted green gram,Threonine (g)
coriander leaves(chopped),Threonine (g)
gram flour,Threonine (g)
chillies red powder,Threonine (g)
oil,Threonine (g)
curd,Tryptophan (g)
sprouted green gram,Tryptophan (g)
coriander leaves(chopped),Tryptophan (g)
gram flour,Tryptophan (g)
chillies red powder,Tryptophan (g)
oil,Tryptophan (g)
curd,Valine (g)
sprouted green gram,Valine (g)
coriander leaves(chopped),Valine (g)
gram flour,Valine (g)
chillies red powder,Valine (g)
oil,Valine (g)
