Food Group,Food_Protein,Protein (g),Food Group,Food_Fat,Total Fat (g),Food Group,Food_Fiber,Total Dietary Fiber(g),Food Group,Food_CHO,CHO (g),Food Group,Food_Energy,Energy (kcals),Food Group,Food_Thiamine,Thaimine (mg),Food Group,Food_Riboflavin,Riboflavin (mg),Food Group,Food_Niacin,Niacin (mg),Food Group,Food_Pantothenic ,Pantothenic acid (mg),Food Group,Food_B6,Total B6 (mg),Food Group,Food_Biotin,Biotin (B7) (mcg),Food Group,Food_folates,Total folates (mcg),Food Group,Food_ascorbic,Total ascorbic acid (mg),Food Group,Food_Ergocalciferol,Ergocalciferol D2 (mcg),Food Group,Food_Vit_E,Vit E (mg),Food Group,Food_Vit_K1,Vit K1 (mcg),Food Group,Food Name,beta- carotene (mcg),Food Group,Food Name,Calcium (mg),Food Group,Food Name,Chromium (mg),Food Group,Food Name,Iron (mg),Food Group,Food Name,Magnesium (mg),Food Group,Food Name,Manganese (mg),Food Group,Food Name,Molebdeum (mg),Food Group,Food Name,Phosphorus (mg),Food Group,Food Name,Potassium (mg),Food Group,Food Name,Selenium (mcg),Food Group,Food Name,Sodium (mg),Food Group,Food Name,Zinc (mg),Food Group,Food Name,Linoleic (mg),Food Group,Food Name,alpha- linolenic (mg),Food Group,Food Name,Arachidonic (mg),Food Group,Food Name,Histidine (g),Food Group,Food Name,Isoleucine (g),Food Group,Food_Luecine,Luecine (g),Food Group,Food_Lysine,Lysine (g),Food Group,Food_Methionine,Methionine (g),Food Group,Food_Cystine,Cystine (g),Food Group,Food_Phenylalanine,Phenylalanine (g),Food Group,Food_Threonine,Threonine (g),Food Group,Food_Tryptophan,Tryptophan (g),Food Group,Food_Valine,Valine (g)
CSD,Pippali,10.53,GL,"Rajmah, brown",1.68,GL,Lentil dal,10.43,NOS,"Garden cress, seeds ",33.66,F,"Dates, dry, dark brown ",310.946806,CM,Bajra,0.25,CSD,"Cardamom, black",0.13,CM,Ragi,1.34,GLV,Agathi leaves,0.53,F,Goosberry ,0.27,NOS,"Gingelly seeds, black",3.06,F,Avocado fruit ,67.17,RT,"Sweet potato, pink skin",22.2,GL,Moth bean,9.77,GL,"Field bean, black",0.51,OV,"Colocasia, stem, black",35.75,OV,"Papaya, raw",164,GL,"Rajmah, brown",134,CM,Varagu,0.021,GL,"Red gram, whole",5.37,CM,"Wheat, whole",125,GL,"Black gram, dal",1.46,NOS,Almond ,0.033,CM,"Wheat, bulgur",245,NOS,"Arecanut, dried, red color",617,CM,Barley,18.61,GLV,Lettuce,17.53,CM,"Wheat, bulgur",1.97,GL,"Green gram, whole",430,GLV,Basella leaves,123,F,Sapota ,0,GL,"Bengal gram, whole",2.51,CSF,Mint leaves,4.34,GLV,Basella leaves,7.68,F,"Tamarind, pulp",5.18,OV,"Bean scarlet, tender",1.46,GL,"Bengal gram, whole",1.27,NOS,"Coconut, kernel, dry ",5.19,CM,Samai,4.24,NOS,"Gingelly seeds, brown ",1.17,F,Peach,5.43
CM,Samai,10.13,F,Karonda fruit ,1.67,NOS,"Coconut, kernel, fresh ",10.42,NOS,Safflower seeds ,30.18,GL,Moth bean,308.556746,CM,"Wheat, bulgur",0.24,MMP,"Milk,Whole,Buffollo",0.13,CM,Samai,1.29,F,"Dates, dry, dark brown ",0.53,CSD,"Pepper, black",0.27,F,"Papaya, ripe ",3.05,CSD,Pippali,66.45,F,Wood Apple ,22.17,GLV,Basella leaves,9.18,OV,Ladies finger,0.5,CSD,Coriander seeds,35.7,RT,"Yam, ordinary",158,GL,"Rajmah, black",134,NOS,"Gingelly seeds, brown ",0.02,CSF,Coriander leaves,5.3,CM,Bajra,124,CSD,"Chillies, red",1.45,CM,Barley,0.032,CM,Ragi,210,OV,"Red gram, tender, fresh",616,GL,"Soya bean, white",16.85,GLV,Radish leaves,17.39,CM,Jowar,1.96,OV,"Red gram, tender, fresh",427,NOS,"Gingelly seeds, white",120,RT,Lotus root,0,F,Mangosteen ,2.51,OV,Ash gourd,4.31,RT,"Sweet potato, brown skin",7.66,GLV,Basella leaves,5.16,F,Litchi ,1.46,F,"Dates, dry, dark brown ",1.26,F,Black berry (Rubus fruticosus),5.18,F,Fig ,4.24,RT,Colocasia,1.16,OV,Broad beans,5.41
CSD,"Pepper, black",10.12,GLV,Drumstick leaves,1.64,NOS,Ground nut ,10.38,CSD,"Chillies, red",29.46,F,"Raisins, dried, black",305.688674,OV,"Red gram, tender, fresh",0.23,NOS,Ground nut ,0.12,OV,"Peas, fresh",1.28,RT,Water Chestnut,0.52,OV,Ladies finger,0.27,OV,"Kovai, big",2.96,OV,"Capsicum, yellow",66.15,F,Custard apple ,21.51,GL,"Black gram, dal",8.4,GLV,"Gogu leaves, green",0.5,OV,"Capsicum, yellow",35.25,GL,"Red gram, whole",149,GL,"Rajmah, red",126,GLV,Drumstick leaves,0.02,GL,"Peas, dry",5.09,GL,"Peas, dry",123,RT,Lotus root,1.4,GLV,"Pumpkin leaves, tender",0.031,CSD,Nutmeg,207,RT,Lotus root,611,CM,"Amaranth seed, black",16.46,NOS,"Arecanut, dried, red color",17.13,GL,Moth bean,1.92,GL,"Field bean, white",426,GL,"Bengal gram, whole",117,GLV,Basella leaves,0,CSF,Coriander leaves,2.48,GLV,Spinach,4.31,OV,Broad beans,7.63,F,"Lemon, juice",5.07,NOS,Pistachio nuts,1.45,CSD,"Pepper, black",1.26,CSD,"Pepper, black",5.15,F,"Apple, small, Kashmir ",4.19,NOS,"Gingelly seeds, white",1.16,CM,"Maize, dry",5.41
CM,Jowar,9.97,GL,"Rajmah, black",1.62,CM,Jowar,10.22,F,Bael fruit ,28.21,CSD,Cumin seedS,304.493644,GL,"Black gram, dal",0.21,NOS,Walnut,0.12,CSD,Omum,1.23,F,"Dates, dry, pale brown ",0.51,GL,"Cowpea, white",0.26,NOS,"Arecanut, dried, red color",2.94,F,"Mango, ripe, paheri",65.28,F,"Musk melon, yellow flesh ",21.32,GL,Ricebean,8.26,F,Plum,0.5,CSD,Omum,30.36,GLV,Cauliflower leaves,146,CSD,Turmeric powder,122,GLV,Lettuce,0.02,GL,"Cowpea, white",5.04,CM,Varagu,122,NOS,Cashew nut ,1.36,CM,"Wheat, bulgur",0.029,NOS,"Coconut, kernel, fresh ",203,CSF,Curry leaves,584,NOS,"Gingelly seeds, brown ",15.7,CSF,Mint leaves,16.87,CM,Samai,1.82,CSD,"Cardamom, green",411,OV,Cauliflower,117,NOS,"Gingelly seeds, white",0,OV,"Plantain, green",2.45,GLV,"Knol-Khol, leaves",4.31,OV,"Peas, fresh",7.63,F,Litchi ,4.95,NOS,Pine seed,1.43,MMP,"Milk,Whole,Buffollo",1.25,CM,"Rice, parboiled, milled",5.14,OV,"Mango, green, raw",4.19,F,"Water melon, dark green (sugar baby)",1.15,CM,Rice flakes,5.4
CM,"Rice, raw, brown",9.16,CM,Rice puffed,1.62,CM,"Wheat, semolina",9.72,CSD,Nutmeg,27.64,GL,"Peas, dry",303.298614,GL,"Rajmah, black",0.21,GL,"Green gram, dal",0.12,CSD,Coriander seeds,1.2,CSF,Curry leaves,0.51,GL,"Peas, dry",0.26,RT,"Radish, round, red skin",2.92,NOS,Pistachio nuts,64.9,F,Sapota ,20.96,CM,"Wheat, semolina",8.19,F,Pummelo,0.5,OV,"Capsicum, red",28.42,CSD,Fenugreek seeds,142,OV,Cluster beans,121,GL,"Black gram, whole",0.019,GL,"Field bean, brown",4.99,GLV,Beet greens,120,GL,"Cowpea, white",1.35,NOS,Linseeds,0.028,CM,Rice flakes,195,GLV,"Amaranth leaves, green",572,GL,"Red gram, whole",15.41,GLV,"Betel leaves, big (kolkata)",16.8,CM,"Rice, raw, brown",1.68,GL,"Field bean, black",398,GL,"Bengal gram, dal",116,GL,"Bengal gram, whole",0,CM,"Rice, raw, milled",2.45,CSF,Mango ginger,4.3,GLV,"Gogu leaves, green",7.6,F,Sapota ,4.93,RT,"Yam, ordinary",1.42,CM,Bajra,1.23,CM,"Maize, dry",5.14,GL,"Rajmah, red",4.18,OV,Celery stalk,1.15,RT,Colocasia,5.37
CM,Varagu,8.92,GL,"Black gram, whole",1.58,F,Sapota ,9.6,NOS,Pine seed,26.77,GL,Ricebean,302.34259,CSF,"Garlic, big clove",0.2,CM,"Wheat, bulgur",0.12,GLV,Garden cress,1.2,GLV,"Betel leaves, big (kolkata)",0.51,CM,"Wheat, whole",0.26,OV,"Red gram, tender, fresh",2.91,OV,Ladies finger,63.68,OV,"Papaya, raw",20.73,OV,"Papaya, raw",7.8,CSF,Coriander leaves,0.46,CSF,Mango ginger,27.71,GL,"Green gram, whole",137,MMP,"Milk,Whole,Buffollo",121,GL,"Field bean, white",0.019,GL,"Green gram, whole",4.89,GL,"Red gram, dal",119,GL,"Red gram, whole",1.34,RT,Colocasia,0.027,CSD,Pippali,181,NOS,Sunflower seeds,559,CM,Ragi,15.3,NOS,"Coconut, kernel, fresh ",16.68,CSD,"Chillies, red",1.66,NOS,"Arecanut, dried, brown ",396,NOS,"Gingelly seeds, brown ",112,OV,Cauliflower,0,GL,"Rajmah, black",2.44,CM,"Rice, raw, milled",4.29,GL,"Black gram, whole",7.58,F,"Papaya, ripe ",4.91,CSF,Mint leaves,1.41,NOS,"Garden cress, seeds ",1.23,OV,"Bean scarlet, tender",5.13,F,Phalsa ,4.18,CM,"Rice, parboiled, milled",1.15,CM,Rice puffed,5.37
CM,"Maize, dry",8.8,GL,"Red gram, dal",1.56,GL,"Green gram, dal",9.37,CSD,Mace,26.51,GL,"Rajmah, red",299.235512,CSF,"Garlic, small clove",0.2,CM,"Maize, tender, local",0.12,CSD,Fenugreek seeds,1.19,NOS,Pine seed,0.5,CM,"Wheat flour, atta",0.25,F,"Orange, pulp ",2.88,CM,"Maize, tender, local",62.96,RT,"Radish, elongate, white skin",19.91,OV,"Mango, green, raw",7.68,CSF,Mint leaves,0.46,F,"Currants, black ",27.52,OV,"Kovai, big",134,MMP,"Milk, Whole, Cow",118,F,Fig ,0.017,F,"Dates, dry, dark brown ",4.79,GL,"Bengal gram, dal",118,GLV,"Colocasia leaves, green",1.3,NOS,"Coconut, kernel, dry ",0.025,CM,Barley,178,NOS,Safflower seeds ,550,NOS,"Arecanut, dried, brown ",15.21,CSD,Pippali,16.28,CM,Varagu,1.65,GL,"Field bean, brown",389,F,Strawberry ,112,GL,"Bengal gram, dal",0,NOS,Safflower seeds ,2.44,GL,"Rajmah, brown",4.27,GLV,Agathi leaves,7.58,GLV,"Pumpkin leaves, tender",4.9,GL,"Field bean, white",1.4,RT,Water Chestnut,1.23,S,"Sugarcane, juice ",5.11,OV,"Kovai, big",4.17,NOS,Sunflower seeds,1.14,F,Mangosteen ,5.36
CSD,"Cardamom, green",8.1,CM,"Wheat flour, atta",1.53,F,"Dates, dry, dark brown ",9.1,NOS,Cashew nut ,25.46,GL,"Lentil whole, brown",298.996506,CSD,Coriander seeds,0.19,OV,"Bean scarlet, tender",0.12,GLV,Agathi leaves,1.18,CM,Bajra,0.5,NOS,"Arecanut, fresh (Areca catechu)",0.25,RT,Lotus root,2.85,OV,Drumstick,62.75,F,Black berry (Rubus fruticosus),19.45,F,"Jack fruit, ripe",7.49,NOS,Mustard seeds ,0.45,OV,Ash gourd,27.15,GL,"Red gram, dal",127,S,"Jaggery, cane ",107,F,"Dates, dry, dark brown ",0.017,GL,Ricebean,4.76,CM,"Wheat, bulgur",116,GLV,Basella leaves,1.29,NOS,"Coconut, kernel, fresh ",0.025,CM,"Maize, tender, local",163,CSF,Coriander leaves,546,GL,"Red gram, dal",14.36,CSD,"Cardamom, black",16.25,GLV,Garden cress,1.52,GL,"Rajmah, black",386,GLV,"Knol-Khol, leaves",111,NOS,"Gingelly seeds, brown ",0,OV,Ladies finger,2.42,GL,"Bengal gram, dal",4.25,NOS,Pistachio nuts,7.55,F,"Banana, ripe, poovam ",4.89,GL,"Field bean, brown",1.38,NOS,"Gingelly seeds, black",1.22,CM,Jowar,5.1,GLV,"Amaranth leaves, green",4.16,F,"Water melon, pale green ",1.13,F,Fig ,5.34
OV,"Red gram, tender, fresh",8.09,CM,"Wheat, whole",1.47,GL,"Red gram, dal",9.06,F,"Banana, ripe, montham",24.95,GL,"Rajmah, black",298.040482,GLV,Parsley,0.19,GL,"Red gram, dal",0.11,CSD,Cloves,1.15,NOS,"Gingelly seeds, black",0.49,OV,"Capsicum, yellow",0.25,OV,"Cucumber, green, elongate",2.82,OV,"Capsicum, red",62.54,OV,Parwar,19.24,OV,Ladies finger,7.46,F,"Currants, black ",0.45,OV,"Field beans, tender, broad",26.45,OV,Brinjal-1,126,NOS,Walnut,105,F,"Lime, sweet,pulp ",0.017,GL,"Black gram, dal",4.67,S,"Jaggery, cane ",115,F,Pineapple ,1.28,GLV,"Amaranth leaves, green",0.024,CM,Rice puffed,152,RT,"Potato, brown skin, big",541,CM,Varagu,14.12,GLV,"Amaranth leaves, green",16.08,CSD,Pippali,1.52,GL,"Green gram, dal",377,CSD,Poppy seeds,106,F,Strawberry ,0,NOS,"Gingelly seeds, white",2.41,GL,"Rajmah, red",4.23,OV,"Colocasia, stem, black",7.53,OV,"Tinda, tender",4.88,GL,"Cowpea, brown",1.38,MMP,"Milk, Whole, Cow",1.22,GL,Lentil dal,5.1,F,Bael fruit ,4.16,RT,"Yam, elephant",1.13,NOS,Linseeds,5.31
GLV,Agathi leaves,8.01,CM,"Wheat, bulgur",1.45,F,"Dates, dry, pale brown ",8.95,CSD,Omum,24.53,GL,"Lentil whole, yellowish",297.801476,CM,"Rice, parboiled, milled",0.17,GL,"Black gram, whole",0.11,NOS,"Niger seeds, black ",1.14,NOS,"Gingelly seeds, brown ",0.49,GL,"Red gram, dal",0.24,F,Litchi ,2.8,OV,"French beans, hybrid",61.98,GLV,"Betel leaves, big (kolkata)",18.4,OV,"Field beans, tender, broad",7.14,F,Pineapple ,0.45,OV,Celery stalk,25.87,OV,Bottlegourd,126,CSD,"Chillies, red",99.83,OV,"Capsicum, green",0.017,GLV,"Amaranth leaves, green",4.64,CSF,Mint leaves,110,GLV,Drumstick leaves,1.26,OV,Broad beans,0.024,CSD,"Pepper, black",144,CSF,Mint leaves,539,CSD,Asafoetida,13.42,CSD,Asafoetida,16.04,CM,Barley,1.5,GL,"Rajmah, red",374,OV,"Field beans, tender, broad",96.74,GLV,"Knol-Khol, leaves",0,GL,"Soya bean, brown",2.4,NOS,Sunflower seeds,4.21,RT,Tapioca,7.51,F,Bael fruit ,4.86,GLV,"Amaranth leaves, green",1.38,F,Litchi ,1.22,CSD,"Chillies, red",5.09,OV,"Jack fruit, raw",4.16,RT,"Carrot, red",1.13,CM,Samai,5.31
CM,"Rice, raw, milled",7.94,CM,"Maize, tender, local",1.4,CM,"Wheat, bulgur",8.81,RT,"Sweet potato, brown skin",24.25,GL,"Rajmah, brown",297.56247,CM,"Maize, tender, local",0.17,MMP,Khoa,0.11,CM,"Maize, tender, sweet",1.14,NOS,"Niger seeds, black ",0.49,CM,"Wheat, bulgur",0.24,CSF,"Onion, small",2.69,F,"Papaya, ripe ",60.9,OV,Cluster beans,17.96,NOS,Ground nut ,7.1,MF,Coconut Water,0.45,CSF,"Ginger, fresh",25.55,CSF,"Chillies, green - all varieties",125,GLV,Cauliflower leaves,96.7,F,"Banana, ripe, montham",0.017,S,"Jaggery, cane ",4.63,GLV,"Betel leaves, big (kolkata)",107,GLV,"Amaranth leaves, green",1.24,CSD,"Pepper, black",0.022,OV,"Red gram, tender, fresh",141,MMP,Khoa,536,NOS,"Coconut, kernel, dry ",13.08,NOS,"Gingelly seeds, brown ",15.91,CM,Rice flakes,1.49,CSF,"Chillies, green - all varieties",370,F,"Mango, ripe, kesar ",90.87,CSD,Poppy seeds,0,GLV,Fenugreek leaves,2.4,OV,Broad beans,4.2,GLV,Fenugreek leaves,7.5,CSD,Cumin seedS,4.85,NOS,Cashew nut ,1.38,F,Peach,1.21,MMP,"Milk, Whole, Cow",5.09,F,"Currants, black ",4.14,GLV,Cauliflower leaves,1.12,GL,"Cowpea, white",5.31
CM,"Rice, parboiled, milled",7.81,GL,"Red gram, whole",1.38,OV,Broad beans,8.63,RT,"Sweet potato, pink skin",23.93,F,"Raisins, dried, golden ",296.606446,GLV,Spinach,0.16,CSF,"Chillies, green - all varieties",0.11,CM,"Maize, tender, local",1.13,GLV,Fenugreek leaves,0.49,NOS,Mustard seeds ,0.24,GL,Ricebean,2.65,OV,Bitter gourd,60.28,RT,"Sweet potato, brown skin",17.94,OV,"Jack fruit, raw",6.84,GLV,"Amaranth leaves, green",0.44,NOS,"Garden cress, seeds ",24.66,CSD,Coriander seeds,122,GLV,Basella leaves,93.89,OV,Celery stalk,0.016,CM,Ragi,4.62,GL,"Lentil whole, brown",101,GL,"Rajmah, red",1.24,CM,"Wheat flour, atta",0.022,CM,"Rice, parboiled, milled",140,GLV,Beet greens,530,F,"Papaya, ripe ",12.78,F,"Musk melon, yellow flesh ",15.78,CSD,Nutmeg,1.45,CM,Ragi,362,F,"Lemon, juice",83.53,OV,"Field beans, tender, broad",0,F,Goosberry ,2.4,GLV,"Tamarind leaves, tender",4.2,GL,"Cowpea, brown",7.49,NOS,"Arecanut, dried, red color",4.84,OV,"Mango, green, raw",1.37,OV,"Capsicum, yellow",1.19,MMP,Khoa,5.08,OV,"Capsicum, red",4.14,OV,Brinjal-1,1.12,OV,Knol - Khol,5.31
CSD,Turmeric powder,7.66,GLV,"Colocasia leaves, green",1.38,GLV,Agathi leaves,8.6,F,"Banana, ripe, robusta ",23.63,GL,"Green gram, whole",293.738374,NOS,Almond ,0.15,MMP,"Milk, Whole, Cow",0.11,CSD,"Cardamom, green",1.13,MMP,Paneer,0.49,OV,"Capsicum, red",0.24,F,Fig ,2.64,CM,"Maize, tender, sweet",59.71,OV,"Kovai, big",17.62,OV,"Onion, stalk",6.81,F,Star fruit ,0.4,OV,"Capsicum, green",24.66,GL,"Green gram, dal",122,GL,"Green gram, whole",92.43,F,"Apricot, dried ",0.016,NOS,Almond ,4.59,NOS,"Coconut, kernel, fresh ",97.21,GLV,Agathi leaves,1.24,NOS,"Arecanut, dried, red color",0.022,CSD,"Cardamom, green",132,NOS,"Arecanut, dried, brown ",524,GL,"Rajmah, brown",12.7,OV,"Onion, stalk",15.52,CM,Rice puffed,1.45,F,Phalsa ,362,F,Black berry (Rubus fruticosus),80.24,F,"Mango, ripe, kesar ",0,NOS,"Coconut, kernel, fresh ",2.4,GL,"Green gram, whole",4.17,GL,"Lentil whole, yellowish",7.47,OV,"French beans, hybrid",4.83,GLV,"Knol-Khol, leaves",1.37,CM,"Maize, tender, local",1.18,MMP,Paneer,5.08,GL,"Field bean, black",4.12,CM,Rice flakes,1.11,NOS,Pistachio nuts,5.27
CM,Rice puffed,7.47,GL,"Green gram, dal",1.35,F,"Guava, white flesh ",8.59,F,"Banana, ripe, poovam ",23.41,GL,"Black gram, whole",291.348314,CSD,Nutmeg,0.15,F,"Papaya, ripe ",0.11,CM,"Wheat, semolina",1.13,NOS,"Gingelly seeds, white",0.48,CSD,Omum,0.24,CSF,"Onion, big",2.61,GLV,Garden cress,58.1,OV,"Jack fruit, raw",17.51,CM,"Wheat, bulgur",6.27,OV,"Tomato, green",0.39,OV,"Tomato, ripe, hybrid",24.12,OV,Bitter gourd,122,GL,"Black gram, whole",86.18,CM,Samai,0.016,GLV,Drumstick leaves,4.56,GLV,Drumstick leaves,97.09,CM,Barley,1.24,NOS,"Niger seeds, black ",0.022,CM,Samai,130,RT,Colocasia,514,NOS,"Arecanut, dried, red color",12.52,CSD,"Cardamom, green",15.51,NOS,"Coconut, kernel, fresh ",1.41,GL,"Cowpea, white",354,F,"Apricot, dried ",79.91,F,"Lemon, juice",0,GLV,Agathi leaves,2.39,GL,Moth bean,4.17,GL,"Green gram, whole",7.45,OV,"Bamboo shoot, tender",4.82,GL,"Field bean, black",1.36,F,Karonda fruit ,1.18,GLV,"Gogu leaves, green",5.04,GL,"Cowpea, white",4.1,NOS,"Niger seeds, gray ",1.11,RT,"Radish, round, red skin",5.27
CM,Rice flakes,7.44,GLV,Agathi leaves,1.35,NOS,"Garden cress, seeds ",8.27,NOS,"Niger seeds, black ",22.98,F,"Tamarind, pulp",288.480242,OV,"Corn, Baby",0.15,CSD,Poppy seeds,0.1,NOS,Linseeds,1.09,NOS,Mustard seeds ,0.48,GL,"Rajmah, black",0.23,NOS,Cashew nut ,2.58,NOS,Walnut,57.95,CSF,Mint leaves,17.16,OV,"Kovai, big",6.25,RT,"Yam, ordinary",0.39,OV,Cluster beans,23.7,OV,"Peas, fresh",121,OV,Ladies finger,86.12,NOS,"Gingelly seeds, white",0.015,CM,Rice puffed,4.55,GLV,Agathi leaves,96.64,CSF,Curry leaves,1.23,NOS,Pistachio nuts,0.022,NOS,"Arecanut, dried, red color",127,RT,"Yam, elephant",501,GLV,"Betel leaves, big (kolkata)",12.15,NOS,Ground nut ,15.43,GLV,Parsley,1.29,GLV,"Colocasia leaves, green",353,CSD,Nutmeg,79.3,F,Black berry (Rubus fruticosus),0,NOS,"Gingelly seeds, black",2.39,GL,"Lentil whole, brown",4.17,GLV,"Colocasia leaves, green",7.45,NOS,Cashew nut ,4.8,GLV,Brussels sprouts,1.34,GL,"Lentil whole, brown",1.18,CM,"Wheat flour, atta",5.03,F,"Banana, ripe, robusta ",4.09,CM,"Wheat, bulgur",1.11,OV,"Capsicum, yellow",5.24
CSF,Curry leaves,7.41,CM,"Maize, tender, sweet",1.35,GLV,Drumstick leaves,8.21,CM,"Maize, tender, local",22.69,GL,"Bengal gram, whole",287.046206,OV,"Capsicum, yellow",0.14,NOS,"Gingelly seeds, black",0.1,F,"Dates, dry, dark brown ",1.09,CM,Rice flakes,0.48,NOS,Ground nut ,0.23,F,"Jambu fruit, ripe",2.57,OV,"Onion, stalk",57.61,F,Fig ,16.92,F,"Grapes, seedless, round, black",6.23,F,"Mango, ripe, paheri",0.37,GLV,Brussels sprouts,23.6,NOS,Pistachio nuts,110,GL,"Cowpea, white",84.1,GL,"Bengal gram, whole",0.015,GL,"Field bean, black",4.5,CSD,Asafoetida,96.4,GLV,Garden cress,1.2,OV,Cluster beans,0.022,CM,"Maize, tender, sweet",121,NOS,"Gingelly seeds, white",491,CSD,"Pepper, black",12.13,RT,"Yam, ordinary",15.28,CSD,"Pepper, black",1.24,GL,"Rajmah, brown",344,CSF,"Ginger, fresh",78.99,F,"Apricot, dried ",0,GL,"Bengal gram, dal",2.39,F,"Palm fruit, tender ",4.16,OV,Bitter gourd,7.4,OV,Ridge gourd,4.78,F,"Apple, small, Kashmir ",1.34,F,"Grapes, seedless, round, black",1.15,OV,"Peas, fresh",5.02,CSD,"Chillies, red",4.08,NOS,"Gingelly seeds, black",1.1,GL,"Field bean, black",5.24
NOS,"Coconut, kernel, dry ",7.27,OV,"Corn, Baby",1.33,GL,"Horse gram, whole",7.88,CSD,Cumin seedS,22.62,GL,"Field bean, brown",282.983104,CSD,Mace,0.13,GLV,Parsley,0.1,CSD,Pippali,1.06,GLV,Basella leaves,0.48,OV,Broad beans,0.23,RT,Beet root,2.56,F,Bael fruit ,55.22,F,"Grapes, seedless, round, green ",16.47,CM,Bajra,5.65,CM,"Maize, dry",0.36,NOS,"Coconut, kernel, fresh ",23.22,CSD,Cumin seedS,89.19,GLV,Spinach,82.29,CSD,Fenugreek seeds,0.015,CM,Rice flakes,4.46,CM,"Rice, raw, brown",93.91,GL,"Rajmah, brown",1.19,NOS,Walnut,0.02,CM,"Wheat, semolina",119,S,"Jaggery, cane ",488,CSD,"Cardamom, green",11.71,GLV,"Cabbage, green",14.98,CM,"Rice, raw, milled",1.21,GL,"Cowpea, brown",343,CSF,Mango ginger,78.26,CSD,Nutmeg,0,NOS,Pine seed,2.38,CM,Samai,4.14,GL,"Bengal gram, whole",7.4,F,Black berry (Rubus fruticosus),4.72,OV,Parwar,1.33,NOS,"Gingelly seeds, brown ",1.13,GL,"Soya bean, white",5.01,OV,"Peas, fresh",4.08,GL,"Bengal gram, dal",1.09,F,"Mango, ripe, kesar ",5.23
OV,"Peas, fresh",7.25,CM,Barley,1.3,F,Goosberry ,7.75,CSF,"Garlic, big clove",21.93,CSD,Turmeric powder,280.593044,F,Custard apple ,0.13,GLV,Spinach,0.1,RT,"Potato, brown skin, big",1.04,GLV,Brussels sprouts,0.47,GLV,Cauliflower leaves,0.23,CSF,"Garlic, big clove",2.55,OV,"Peas, fresh",54.77,F,"Jambu fruit, ripe",16.47,GLV,Parsley,5.55,GLV,Fenugreek leaves,0.36,GL,Moth bean,22.75,CSF,"Ginger, fresh",88.85,GL,"Cowpea, brown",81.73,OV,"Colocasia, stem, black",0.015,GLV,Agathi leaves,4.36,CM,Samai,91.41,GL,"Rajmah, black",1.19,CSF,Mint leaves,0.02,CSF,"Garlic, big clove",119,OV,"Plantain, flower",488,CM,"Wheat, semolina",10.93,F,"Musk melon, orange flesh",14.94,CSF,Curry leaves,1.18,CM,"Maize, tender, local",337,CSD,Omum,76.71,CSF,"Ginger, fresh",0,CSD,Omum,2.38,CM,"Rice, parboiled, milled",4.14,GL,"Lentil whole, brown",7.36,GLV,"Tamarind leaves, tender",4.69,GLV,Spinach,1.33,OV,"Capsicum, red",1.13,NOS,Sunflower seeds,4.97,GLV,Mustard leaves,4.08,F,Pineapple ,1.09,GL,Ricebean,5.23
CM,Ragi,7.16,CSD,Asafoetida,1.26,CM,Samai,7.72,CSF,"Garlic, small clove",21.84,GL,"Field bean, white",280.354038,OV,"Bean scarlet, tender",0.13,OV,Broad beans,0.1,NOS,Cashew nut ,1.03,OV,"Colocasia, stem, black",0.47,F,"Mango, ripe, paheri",0.23,CSF,"Garlic, small clove",2.54,GLV,Radish leaves,53.14,OV,"Tomato, green",16.41,GLV,Mustard leaves,5.4,GLV,Parsley,0.35,GL,"Field bean, white",22.65,GLV,Garden cress,88.72,F,Fig ,78.52,F,"Jambu fruit, ripe",0.015,F,"Raisins, dried, golden ",4.26,NOS,"Arecanut, dried, red color",91.01,CM,Jowar,1.19,NOS,Safflower seeds ,0.02,CSD,"Cardamom, black",117,NOS,"Gingelly seeds, brown ",480,CSF,Mint leaves,10.79,RT,"Yam, elephant",14.33,CSD,Mace,1.16,CSD,"Cardamom, black",320,GL,"Field bean, white",76.61,CSF,Mango ginger,0,F,Avocado fruit ,2.38,OV,"Cucumber, green, elongate",4.14,OV,"Kovai, big",7.32,GLV,Spinach,4.68,GLV,Parsley,1.32,RT,"Sweet potato, pink skin",1.12,GLV,"Knol-Khol, leaves",4.93,F,"Cherries, red ",4.06,GLV,Bathua leaves,1.08,GL,"Green gram, dal",5.21
